Article Name,Software Mention in Softcite Dataset ,Frequency ,Software Mention in Article,Frequency,Note
Branched-chain amino acid restriction in Zucker-fatty rats improves muscle insulin sensitivity by enhancing efficiency of fatty acid oxidation and acyl-glycine export,JMP Pro 12,2,JMP Pro 12 ,2,
Branched-chain amino acid restriction in Zucker-fatty rats improves muscle insulin sensitivity by enhancing efficiency of fatty acid oxidation and acyl-glycine export,Excel,1,Excel,1,
Teaching Evidence Assimilation for Collaborative Health Care (TEACH) 2009-2014: Building Evidence-Based Capacity Within Health Care Provider Organizations,GRADEpro,1,GRADEpro,1,
Verification of ALDH Activity as a Biomarker in Colon Cancer Stem Cells-Derived HT-29 Cell Line,ELDA,4,ELDA,5,Including Reference
Etablierung eines Skills Labs in der Tiermedizin in Deutschland Zusammenfassung Mit Änderungen der Ausbildungsordnung der Tierärztlichen Approbati- onsordnung (TAppO) zur jetzigen Tierärztlichen Approbationsverordnung OPEN ACCESS Tiermedizin,Youtube,1,Youtube,5,
Association of Bisphenol A Exposure With Hypertension and Early Macrovascular Diseases in Chinese Adults,SAS 9.2,1,SAS 9.2,1,
Connecting biodiversity and potential functional role in modern euxinic environments by microbial metagenomics,JCVI,2,JCVI,4,Including Reference
Intertrial auditory neural stability supports beat synchronization in preschoolers,Audacity 2.0.5,1,Audacity 2.0.5,1,
Intertrial auditory neural stability supports beat synchronization in preschoolers,MATLAB,1,MATLAB,3,
Intertrial auditory neural stability supports beat synchronization in preschoolers,LabView 2.0,1,LabView 2.0,1,
Efficacy and Safety of Topiramate for Essential Tremor,Review Manager 5.2,1,Review Manager 5.2,1,
Longitudinal study of infectious intestinal disease in the UK (IID2 study): incidence in the community and presenting to general practice,R 2.11,1,R 2.11,1,
Longitudinal study of infectious intestinal disease in the UK (IID2 study): incidence in the community and presenting to general practice,Stata 11,1,Stata 11,2,Including Reference
"The effects of scale on the costs of targeted HIV prevention interventions among female and male sex workers, men who have sex with men and transgenders in India",MS Excel,1,MS Excel,1,
"The effects of scale on the costs of targeted HIV prevention interventions among female and male sex workers, men who have sex with men and transgenders in India",SPSS,1,SPSS,1,
Temozolomide in combination with metformin act synergistically to inhibit proliferation and expansion of glioma stem-like cells,CalcuSyn 2,1,CalcuSyn 2,3,
Profile of chronic and aggressive periodontitis among Senegalese,SPSS 14.0,1,SPSS 14.0,1,
N-myc downstream regulated gene 2 overexpression reduces matrix metalloproteinase-2 and -9 activities and cell invasion of A549 lung cancer cell line in vitro,SPSS 15.0,1,SPSS 15.0,1,
Correlation between Tear Osmolarity and Other Ocular Surface Parameters in Primary Sjögren's Syndrome,SPSS 19.0,1,SPSS 19.0,1,
A Short Introduction to the World of Cryptocurrencies,Bitcoin wallet,2,Bitcoin wallet,2,
Ingestive Behavior of Heifers Supplemented with Glycerin in Substitution of Corn on <i>Brachiaria brizantha</i> Pasture,System Analysis and Statistical Genetics (2001),1,System Analysis and Statistical Genetics (2001),2,Including Reference
Surgical navigation in paediatric orthopaedics,ITK- Snap 2.0.0,1,ITK- Snap 2.0.0,1,
Oral health after breast cancer treatment in postmenopausal women,GraphPad 5.0,1,GraphPad 5.0,1,
Anatomical Analysis of Intraorbital Structures Regarding Sinus Surgery Using Multiplanar Reconstruction of Computed Tomography Scans,DICOM,1,DICOM,1,
Anatomical Analysis of Intraorbital Structures Regarding Sinus Surgery Using Multiplanar Reconstruction of Computed Tomography Scans,3D-DOCTOR,1,3D-DOCTOR,2,
Anatomical Analysis of Intraorbital Structures Regarding Sinus Surgery Using Multiplanar Reconstruction of Computed Tomography Scans,SPSS 18,1,SPSS 18,1,
"Spatial Interactions in Hedonic Pricing Models: The Urban Housing Market of Aveiro, Portugal",Geoda,3,Geoda,,Need Access to the article
Safety and efficacy of switching from dorzolamide 1.0%/timolol maleate 0.5% eye drops to brinzolamide 1.0%/timolol maleate 0.5% eye drops,SPSS 22,1,SPSS 22,1,
The Effects of Non-Nutritive Sucking and Pre-Feeding Oral Stimulation on Time to Achieve Independent Oral Feeding for Preterm Infants,SPSS 16.0,1,SPSS 16.0,1,
Limited genetic divergence between dog breeds from geographically isolated countries,STRUCTURE,3,STRUCTURE,6,
A novel method to accurately locate and count large numbers of steps by photobleaching,Lab-View,3,Lab-View,1,
What drives compliance? An application of the theory of planned behaviour to urban water restrictions using structural equation modelling,AMOS,1,AMOS,2,Including Reference
CCL-1 in the spinal cord contributes to neuropathic pain induced by nerve injury,Origin,1,Origin,1,
CCL-1 in the spinal cord contributes to neuropathic pain induced by nerve injury,Clampex 10,1,Clampex 10,1,
CCL-1 in the spinal cord contributes to neuropathic pain induced by nerve injury,Clampfit 10,1,Clampfit 10,1,
Ocular Drug Distribution After Topical Administration: Population Pharmacokinetic Model in Rabbits,NONMEM 7.2.0,2,NONMEM 7.2.0,2,
Augmentation index (AI) in a dose–response relationship with smoking habits in males,SAS 9.3,1,SAS 9.3,1,
A Protocol for Targeted Enrichment of Intron-Containing Sequence Markers for Recent Radiations: A Phylogenomic Example from Heuchera (Saxifragaceae),Trimmomatic 0.33,1,Trimmomatic 0.33,2,Including Reference
Updates to BioSamples database at European Bioinformatics Institute,MyEquivalents,3,MyEquivalents,3,
The dynein cortical anchor Num1 activates dynein motility by relieving Pac1/LIS1-mediated inhibition,NIS-Elements,1,NIS-Elements,1,
The dynein cortical anchor Num1 activates dynein motility by relieving Pac1/LIS1-mediated inhibition,ImageJ,1,ImageJ,1,
Human Immunodeficiency Virus Type 1 Subtypes Prevalence in Central China,CLUSTAL W,1,CLUSTAL W,1,
Human Immunodeficiency Virus Type 1 Subtypes Prevalence in Central China,MEGA 3.1,1,MEGA 3.1,1,
Association Between Serum IgE Levels and the CTLA4 +49A/G and FCER1B -654C/T Polymorphisms in Korean Children With Asthma,Primer Express,1,Primer Express,1,
Association Between Serum IgE Levels and the CTLA4 +49A/G and FCER1B -654C/T Polymorphisms in Korean Children With Asthma,SDS 2.1,1,SDS 2.1,1,
Association Between Serum IgE Levels and the CTLA4 +49A/G and FCER1B -654C/T Polymorphisms in Korean Children With Asthma,SPSS 14.0,1,SPSS 14.0,1,
Efficient mitochondrial targeting relies on co-operation of multiple protein signals in plants,Predotar,1,Predotar,2,Including Reference
Efficient mitochondrial targeting relies on co-operation of multiple protein signals in plants,MitoPred,1,MitoPred,2,Including Reference
Improved sequence-based prediction of disordered regions with multilayer fusion of multiple information sources,GeneSilicoMetaServer,3,GeneSilicoMetaServer,6,
"From “Made in China” to “Innovated in China”: Necessity, Prospect, and Challenges",Wechat,1,Wechat,1,
Effect of electroacupuncture pretreatment at GB20 on behaviour and the descending pain modulatory system in a rat model of migraine,HomeCageScan,6,HomeCageScan,7,
Association of an SNP in a novel DREB2-like gene SiDREB2 with stress tolerance in foxtail millet [Setaria italica (L.)],MODELLER,4,MODELLER,4,
Prevalence of General and Abdominal Obesity in a Nationally Representative Sample of Iranian Children and Adolescents: The CASPIAN-IV Study,STATA 12,1,STATA 12,1,
Inappropriate Prescription and Renal Function Among Older Patients with Cognitive Impairment,SPSS 22,1,SPSS 22,1,
Formulation and optimization of temozolomide nanoparticles by 3 factor 2 level factorial design,Expert Design,2,Expert Design,2,
Analysis of dynamic smile and upper lip curvature in young Chinese,Windows XP Professional,1,Windows XP Professional,1,
Development and evaluation of a dish-based semiquantitative food frequency questionnaire for Korean adolescents,Can-pro 4.0,1,Can-pro 4.0,1,
Development and evaluation of a dish-based semiquantitative food frequency questionnaire for Korean adolescents,Statistical Analysis System 9.2,1,Statistical Analysis System 9.2,1,
